title,soldprice,solddate,bids
Shop on eBay,20.0,No sold date,No bids
LEGO® Icons™ 10316 The Lord of the Rings: Brochure Valley / Rivendell - No Minifigures,371.91," Nov 21, 2023",No bids
lego lord of the rings 11x17 Middle Earth Map Poster Rivendell Exclusive Rare,39.99," Nov 26, 2023",No bids
The Lord of the Rings Rivendell (10316) DAMAGED BOX Extra Tape See Photos,479.95," Nov 26, 2023",No bids
LEGO-NEW-COMPLETE 15  MINFIGURES SET # 10316 LORD OF THE RINGS/RIVENDELL,249.99," Nov 26, 2023",No bids
LEGO Icons: The Lord of the Rings Rivendell (10316),380.0," Nov 25, 2023",6 bids
"LEGO 10316 Icons The Lord of The Rings Rivendell 6,167pcs",399.99," Nov 25, 2023",No bids
Brand NEW - LEGO 10316 ~ The Lord Of The Rings Rivendell Icons - Lotr  COMPLETE,969.99," Nov 24, 2023",No bids
LEGO UCS Icons: The Lord of the Rings Rivendell (10316) MISB,500.0," Nov 24, 2023",No bids
LEGO Icons: The Lord of the Rings Rivendell (10316) BOX ONLY,100.0," Nov 21, 2023",No bids
LEGO Icons: The Lord of the Rings Rivendell (10316),440.0," Nov 21, 2023",11 bids
lego lord of the rings rivendell 10316,300.0," Nov 21, 2023",1 bid
Pick a Minifigure ~ LEGO 10316 Lord of the Rings Rivendell Mini-figures LOTR,2.89," Nov 20, 2023",No bids
Pick a Minifigure ~ LEGO 10316 Lord of the Rings Rivendell Mini-figures LOTR,2.99," Nov 20, 2023",No bids
LEGO Icons: The Lord of the Rings Rivendell (10316) New Sealed Box Excellent Con,438.9," Nov 16, 2023",No bids
Lego Lord Of The Rings Rivendell 10316 FACTORY SEALED FAST SHIPPING,477.89," Nov 16, 2023",No bids
"LEGO Set Icons: The Lord of the Rings Rivendell (10316) - Brand New, Sealed",519.99," Nov 15, 2023",No bids
LEGO Icons: The Lord of the Rings Rivendell (10316),460.0," Nov 15, 2023",19 bids
NEW Lego 10316 Lord of the Rings Rivendell FACTORY SEALED IN HAND READY TO SHIP,699.0," Nov 12, 2023",No bids
LEGO 10316 Lord of the Rings Rivendell SEALED BOX,435.0," Nov 12, 2023",20 bids
LEGO Icons: The Lord of the Rings Rivendell (10316),440.0," Nov 10, 2023",1 bid
